mileage,exterior,interior,vin,price,price_type,condition,year,make,model
16,Summit White,"Jet Black, Cloth seat trim",1HTKJPVKXPH803728,73205,MSRP,New,2023,Chevrolet,Silverado 4500 HD LT
314,Summit White,"Dark Ash seats with Jet Black interior accents, Cloth seat trim",1HTKJPVK9PH107975,70520,MSRP,New,2023,Chevrolet,Silverado 5500 HD Work Truck
6,Summit White,"Dark Ash seats with Jet Black interior accents, Vinyl seat trim",1HTKJPVK4PH758477,70520,MSRP,New,2023,Chevrolet,Silverado 5500 HD Work Truck
2,Radiant Red Tintcoat,"Jet Black, Perforated leather seating surfaces 1st and 2nd row",1GNSKTKL9PR552363,84895,MSRP,New,2023,Chevrolet,Tahoe High Country
3,Summit White,"Jet Black/Maple Sugar, Perforated leather seating surfaces 1st and 2nd row",1GNSKSKD1PR544678,72145,MSRP,New,2023,Chevrolet,Tahoe Premier
0,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S0XP4204185,35790,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Summit White,"Jet Black, Perforated leather-appointed seat trim",1G1FZ6S0XP4203229,36285,MSRP,New,2023,Chevrolet,Bolt EUV Premier Redline
0,Gray Ghost Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S09P4204212,35790,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S09P4182468,33295,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S09P4177576,37990,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S06P4185294,33295,MSRP,New,2023,Chevrolet,Bolt EUV Premier
1,Silver Flare Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S06P4178507,35865,MSRP,New,2023,Chevrolet,Bolt EUV Premier
0,Silver Flare Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S05P4204224,35790,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Ice Blue Metallic,"Dark Ash Gray/Sky Cool Gray, Perforated leather-appointed seat trim",1G1FZ6S05P4182547,37990,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Mosaic Black Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FZ6S04P4183754,33790,MSRP,New,2023,Chevrolet,Bolt EUV Premier Redline
2,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S03P4182479,33295,MSRP,New,2023,Chevrolet,Bolt EUV Premier
3,Gray Ghost Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S02P4184465,35790,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Silver Flare Metallic,"Jet Black, Perforated leather-appointed seat trim",1G1FZ6S02P4182876,35990,MSRP,New,2023,Chevrolet,Bolt EUV Premier Redline
2,Radiant Red Tintcoat,"Dark Ash Gray/Sky Cool Gray, Perforated leather-appointed seat trim",1G1FZ6S02P4181758,38485,MSRP,New,2023,Chevrolet,Bolt EUV Premier
0,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S01P4204155,35790,MSRP,New,2023,Chevrolet,Bolt EUV Premier
0,Summit White,"Jet Black, Perforated leather-appointed seat trim",1G1FZ6S01P4203247,36285,MSRP,New,2023,Chevrolet,Bolt EUV Premier Redline
2,Summit White,"Jet Black, Perforated leather-appointed seat trim",1G1FZ6S00P4183167,38485,MSRP,New,2023,Chevrolet,Bolt EUV Premier Redline
10,Mosaic Black Metallic,"Dark Ash Gray/Sky Cool Gray, Perforated leather-appointed seat trim",1G1FZ6S00P4182746,37990,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Mosaic Black Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed trim",1G1FZ6S00P4181676,35790,MSRP,New,2023,Chevrolet,Bolt EUV Premier
2,Silver Flare Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S0XP4202178,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT
3,Gray Ghost Metallic,"Jet Black/Nightshift Blue, Perforated leather-appointed seat trim",1G1FY6S09P4202172,31880,MSRP,New,2023,Chevrolet,Bolt EUV LT
