game_id,team_abbr,pts,fg,fgm,fga,fg_pct,fg3,fg3m,fg3a,fg3_pct,ft,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pts_off_tov,fst_brk_pts,pts_in_pnt,pf,tech_fl,flag_fl,opp_team_abbr,pts_opp,fg_opp,fgm_opp,fga_opp,fg_pct_opp,fg3_opp,fg3m_opp,fg3a_opp,fg3_pct_opp,ft_opp,ftm_opp,fta_opp,ft_pct_opp,oreb_opp,dreb_opp,reb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pts_off_tov_opp,fst_brk_pts_opp,pts_in_pnt_opp,pf_opp,tech_fl_opp,flag_fl_opp,poss,poss_opp,ortg,drtg,net_rtg
401585093,CLE,140,54-101,54,101,53.5,20-42,20,42,47.6,12-16,12,16,75.0,18,44,62,37,5,8,11,15.0,25.0,68.0,13,0.0,0.0,WSH,101,42-101,42,101,41.6,12-35,12,35,34.3,5-11,5,11,45.5,12,24,36,22,8,5,8,16.0,14.0,52.0,14,0.0,0.0,96.514935064935074,90.27732142857144,145.05527036391649,104.64701647682546,40.408253887091021
401585096,CHI,100,37-89,37,89,41.6,13-32,13,32,40.6,13-16,13,16,81.3,11,28,39,24,9,7,11,21.0,13.0,36.0,17,1.0,0.0,NY,116,46-89,46,89,51.7,15-38,15,38,39.5,9-11,9,11,81.8,13,39,52,29,6,7,16,18.0,14.0,54.0,17,0.0,0.0,91.098707142857137,92.759065040650412,109.77104191301446,127.33440861909676,-17.563366706082313
401585096,NY,116,46-89,46,89,51.7,15-38,15,38,39.5,9-11,9,11,81.8,13,39,52,29,6,7,16,18.0,14.0,54.0,17,0.0,0.0,CHI,100,37-89,37,89,41.6,13-32,13,32,40.6,13-16,13,16,81.3,11,28,39,24,9,7,11,21.0,13.0,36.0,17,1.0,0.0,92.759065040650412,91.098707142857137,125.05516301739841,107.80617501499864,17.248988002399781
401585093,WSH,101,42-101,42,101,41.6,12-35,12,35,34.3,5-11,5,11,45.5,12,24,36,22,8,5,8,16.0,14.0,52.0,14,0.0,0.0,CLE,140,54-101,54,101,53.5,20-42,20,42,47.6,12-16,12,16,75.0,18,44,62,37,5,8,11,15.0,25.0,68.0,13,0.0,0.0,90.27732142857144,96.514935064935074,111.87748861148089,155.07770698621113,-43.200218374730241
401585103,LAL,96,35-83,35,83,42.2,4-30,4,30,13.3,22-24,22,24,91.7,9,41,50,29,3,6,22,22.0,15.0,60.0,14,0.0,0.0,MIA,110,41-93,41,93,44.1,16-42,16,42,38.1,12-17,12,17,70.6,7,32,39,30,14,3,10,6.0,20.0,42.0,23,0.0,0.0,101.81317073170732,100.92041666666667,94.290354882448483,108.04103163613888,-13.750676753690405
401585099,MIN,106,37-82,37,82,45.1,10-31,10,31,32.3,22-27,22,27,81.5,8,20,28,26,7,6,13,16.0,12.0,50.0,13,1.0,0.0,NO,117,45-81,45,81,55.6,12-26,12,26,46.2,15-17,15,17,88.2,9,32,41,30,7,5,14,13.0,11.0,48.0,24,2.0,0.0,90.318,91.804008620689643,117.36309484266702,129.5422839301136,-12.179189087446577
401585098,TOR,116,41-85,41,85,48.2,12-26,12,26,46.2,22-27,22,27,81.5,7,39,46,25,5,6,12,11.0,23.0,44.0,20,0.0,0.0,MEM,111,40-94,40,94,42.6,15-42,15,42,35.7,16-19,16,19,84.2,9,34,43,25,7,5,10,6.0,13.0,44.0,19,0.0,1.0,99.014052532833,99.4366544117647,117.15508761903718,112.10529935959592,5.0497882594412573
401585100,DAL,126,42-84,42,84,50.0,13-30,13,30,43.3,29-41,29,41,70.7,7,36,43,25,12,7,12,7.0,28.0,52.0,18,2.0,0.0,POR,97,34-87,34,87,39.1,13-40,13,40,32.5,16-22,16,22,72.7,10,36,46,23,4,3,22,27.0,14.0,36.0,34,0.0,1.0,103.56570413436692,104.56670289855073,121.6618967187503,93.660349061260149,28.00154765749015
401585102,UTAH,154,53-103,53,103,51.5,16-32,16,32,50.0,32-35,32,35,91.4,15,28,43,28,11,8,12,18.0,16.0,68.0,22,2.0,0.0,DET,148,56-105,56,105,53.3,19-41,19,41,46.3,17-22,17,22,77.3,16,32,48,33,5,3,17,32.0,20.0,62.0,27,1.0,0.0,106.38276595744681,107.82821022727273,144.76028952057905,139.12027824055647,5.64001128002256
401585103,MIA,110,41-93,41,93,44.1,16-42,16,42,38.1,12-17,12,17,70.6,7,32,39,30,14,3,10,6.0,20.0,42.0,23,0.0,0.0,LAL,96,35-83,35,83,42.2,4-30,4,30,13.3,22-24,22,24,91.7,9,41,50,29,3,6,22,22.0,15.0,60.0,14,0.0,0.0,100.92041666666667,101.81317073170732,108.99677551205777,95.124458628704957,13.872316883352807
401585095,ATL,141,48-95,48,95,50.5,14-39,14,39,35.9,31-33,31,33,93.9,15,34,49,30,8,5,13,16.0,23.0,52.0,21,1.0,0.0,OKC,138,50-91,50,91,54.9,18-36,18,36,50.0,20-26,20,26,76.9,9,28,37,30,10,1,13,15.0,29.0,62.0,23,1.0,0.0,103.22216484268127,99.738417774086386,136.59856893613414,133.69221640557811,2.9063525305560458
401585101,LAC,131,42-76,42,76,55.3,18-34,18,34,52.9,29-32,29,32,90.6,10,26,36,25,9,5,14,16.0,10.0,44.0,18,4.0,0.0,PHX,122,42-79,42,79,53.2,15-35,15,35,42.9,23-26,23,26,88.5,10,22,32,23,9,2,17,26.0,8.0,46.0,23,2.0,0.0,91.30216346153847,90.833207070707061,143.47962308164193,133.62224439664362,9.8573786849983
401585097,HOU,112,37-76,37,76,48.7,19-39,19,39,48.7,19-27,19,27,70.4,5,43,48,27,5,4,16,17.0,16.0,28.0,19,1.0,0.0,BKN,101,36-93,36,93,38.7,13-44,13,44,29.5,16-26,16,26,61.5,15,35,50,25,11,6,10,16.0,11.0,46.0,19,0.0,0.0,94.854084302325589,97.232647783251224,118.07609637875555,106.47933691298492,11.596759465770635
401585097,BKN,101,36-93,36,93,38.7,13-44,13,44,29.5,16-26,16,26,61.5,15,35,50,25,11,6,10,16.0,11.0,46.0,19,0.0,0.0,HOU,112,37-76,37,76,48.7,19-39,19,39,48.7,19-27,19,27,70.4,5,43,48,27,5,4,16,17.0,16.0,28.0,19,1.0,0.0,97.232647783251224,94.854084302325589,103.87457536397329,115.18764792836643,-11.313072564393131
401585099,NO,117,45-81,45,81,55.6,12-26,12,26,46.2,15-17,15,17,88.2,9,32,41,30,7,5,14,13.0,11.0,48.0,24,2.0,0.0,MIN,106,37-82,37,82,45.1,10-31,10,31,32.3,22-27,22,27,81.5,8,20,28,26,7,6,13,16.0,12.0,50.0,13,1.0,0.0,91.804008620689643,90.318,127.44541524696777,115.46336765964601,11.982047587321755
401585098,MEM,111,40-94,40,94,42.6,15-42,15,42,35.7,16-19,16,19,84.2,9,34,43,25,7,5,10,6.0,13.0,44.0,19,0.0,1.0,TOR,116,41-85,41,85,48.2,12-26,12,26,46.2,22-27,22,27,81.5,7,39,46,25,5,6,12,11.0,23.0,44.0,20,0.0,0.0,99.4366544117647,99.014052532833,111.62885623680758,116.65718309432143,-5.0283268575138544
401585104,SAC,138,51-105,51,105,48.6,15-40,15,40,37.5,21-31,21,31,67.7,18,40,58,36,9,3,21,30.0,19.0,66.0,21,2.0,0.0,ORL,135,44-90,44,90,48.9,25-44,25,44,56.8,22-27,22,27,81.5,7,32,39,33,10,7,21,29.0,10.0,24.0,30,1.0,1.0,115.39285000000001,110.18405585106383,119.59146515577004,116.99165069586199,2.5998144599080444
401585104,ORL,135,44-90,44,90,48.9,25-44,25,44,56.8,22-27,22,27,81.5,7,32,39,33,10,7,21,29.0,10.0,24.0,30,1.0,1.0,SAC,138,51-105,51,105,48.6,15-40,15,40,37.5,21-31,21,31,67.7,18,40,58,36,9,3,21,30.0,19.0,66.0,21,2.0,0.0,110.18405585106383,115.39285000000001,122.52226418537357,125.24498116727077,-2.7227169818971908
401585094,IND,142,50-90,50,90,55.6,14-35,14,35,40.0,28-34,28,34,82.4,7,37,44,34,7,5,11,14.0,21.0,64.0,27,3.0,0.0,MIL,130,46-92,46,92,50.0,14-37,14,37,37.8,24-32,24,32,75.0,10,32,42,30,6,4,13,15.0,17.0,60.0,25,2.0,0.0,105.707623007623,106.28257978723404,134.3327907295388,122.98072390732425,11.352066822214546
401585101,PHX,122,42-79,42,79,53.2,15-35,15,35,42.9,23-26,23,26,88.5,10,22,32,23,9,2,17,26.0,8.0,46.0,23,2.0,0.0,LAC,131,42-76,42,76,55.3,18-34,18,34,52.9,29-32,29,32,90.6,10,26,36,25,9,5,14,16.0,10.0,44.0,18,4.0,0.0,90.833207070707061,91.30216346153847,134.31211330568991,144.22038395938833,-9.9082706536984357
401585095,OKC,138,50-91,50,91,54.9,18-36,18,36,50.0,20-26,20,26,76.9,9,28,37,30,10,1,13,15.0,29.0,62.0,23,1.0,0.0,ATL,141,48-95,48,95,50.5,14-39,14,39,35.9,31-33,31,33,93.9,15,34,49,30,8,5,13,16.0,23.0,52.0,21,1.0,0.0,99.738417774086386,103.22216484268127,138.36193021687836,141.36979826507135,-3.0078680481930076
401585094,MIL,130,46-92,46,92,50.0,14-37,14,37,37.8,24-32,24,32,75.0,10,32,42,30,6,4,13,15.0,17.0,60.0,25,2.0,0.0,IND,142,50-90,50,90,55.6,14-35,14,35,40.0,28-34,28,34,82.4,7,37,44,34,7,5,11,14.0,21.0,64.0,27,3.0,0.0,106.28257978723404,105.707623007623,122.31543519196242,133.60609074814357,-11.290655556181147
401585102,DET,148,56-105,56,105,53.3,19-41,19,41,46.3,17-22,17,22,77.3,16,32,48,33,5,3,17,32.0,20.0,62.0,27,1.0,0.0,UTAH,154,53-103,53,103,51.5,16-32,16,32,50.0,32-35,32,35,91.4,15,28,43,28,11,8,12,18.0,16.0,68.0,22,2.0,0.0,107.82821022727273,106.38276595744681,137.25536173516744,142.81976829199854,-5.5644065568311118
401585100,POR,97,34-87,34,87,39.1,13-40,13,40,32.5,16-22,16,22,72.7,10,36,46,23,4,3,22,27.0,14.0,36.0,34,0.0,1.0,DAL,126,42-84,42,84,50.0,13-30,13,30,43.3,29-41,29,41,70.7,7,36,43,25,12,7,12,7.0,28.0,52.0,18,2.0,0.0,104.56670289855073,103.56570413436692,92.7637549154707,120.49724865308566,-27.733493737614953
